,module0,module1,module2,module3,module4,module5,module6,module7,module8,module9,module10,module11,module12,module13,module14,group
2023-07-08_15-47-29_bm01_k1iv,0.02772222222222222,0.060444444444444446,0.12186111111111111,0.014944444444444444,0.0555,0.11644444444444445,0.01525,0.2441111111111111,0.03388888888888889,0.05875,0.014,0.02086111111111111,0.042527777777777775,0.09647222222222222,0.07722222222222222,k1iv
2023-06-15_17-16-18_bm01_k5iv,0.024666666666666667,0.03797222222222222,0.12088888888888889,0.004916666666666666,0.04466666666666667,0.11277777777777778,0.004527777777777778,0.2524166666666667,0.102,0.07019444444444445,0.03983333333333333,0.007333333333333333,0.06247222222222222,0.07013888888888889,0.04519444444444445,k5iv
2023-06-26_16-15-58_bf02_k5iv,0.08997222222222222,0.08083333333333333,0.07,0.012694444444444444,0.07752777777777778,0.06758333333333333,0.011888888888888888,0.050416666666666665,0.18030555555555555,0.07697222222222222,0.02475,0.06133333333333333,0.049777777777777775,0.07719444444444444,0.06875,k5iv
2023-07-03_20-27-25_bf03_k5iv,0.06402777777777778,0.05505555555555556,0.07652777777777778,0.01075,0.05369444444444445,0.05486111111111111,0.010444444444444444,0.0475,0.26675,0.10005555555555555,0.03927777777777778,0.025861111111111112,0.03986111111111111,0.06986111111111111,0.08547222222222223,k5iv
2023-07-08_16-19-27_bm02_k5iv,0.05272222222222222,0.06886111111111111,0.09955555555555555,0.0054444444444444445,0.07475,0.08611111111111111,0.0047777777777777775,0.10044444444444445,0.19808333333333333,0.09247222222222222,0.020638888888888887,0.03886111111111111,0.023944444444444445,0.0763888888888889,0.05694444444444444,k5iv
2023-07-14_16-25-47_bf01_k5iv,0.10791666666666666,0.10972222222222222,0.0495,0.02738888888888889,0.06216666666666667,0.028972222222222222,0.026944444444444444,0.0077777777777777776,0.21258333333333335,0.06705555555555555,0.08722222222222223,0.022972222222222224,0.05463888888888889,0.05825,0.0768888888888889,k5iv
2023-07-18_19-35-14_bm03_k5iv,0.09008333333333333,0.08891666666666667,0.13683333333333333,0.014694444444444444,0.08869444444444445,0.08725,0.014361111111111111,0.024444444444444446,0.1245,0.07591666666666666,0.0648611111111111,0.017,0.051444444444444445,0.06502777777777778,0.05597222222222222,k5iv
2023-05-15_16-47-52_bf03_k10iv,0.052444444444444446,0.04741666666666667,0.043583333333333335,0.02175,0.07083333333333333,0.03413888888888889,0.021277777777777777,0.01638888888888889,0.20841666666666667,0.05569444444444444,0.25858333333333333,0.023416666666666665,0.03241666666666667,0.07138888888888889,0.04225,k10iv
2023-05-15_18-18-22_bf04_k10iv,0.05991666666666667,0.05277777777777778,0.04875,0.05186111111111111,0.050722222222222224,0.02861111111111111,0.05305555555555556,0.13630555555555557,0.23452777777777778,0.052083333333333336,0.09766666666666667,0.005527777777777778,0.034861111111111114,0.05925,0.034083333333333334,k10iv
2023-05-25_14-30-54_bm02_k10iv,0.03983333333333333,0.04375,0.05075,0.04102777777777778,0.050222222222222224,0.029083333333333333,0.042805555555555555,0.12405555555555556,0.1435,0.06813888888888889,0.1924722222222222,0.00938888888888889,0.07222222222222222,0.06225,0.0305,k10iv
2023-05-31_17-08-06_bf01_k10iv,0.07408333333333333,0.044222222222222225,0.019416666666666665,0.0021944444444444446,0.050638888888888886,0.01338888888888889,0.0018333333333333333,0.0028333333333333335,0.4128888888888889,0.07816666666666666,0.15605555555555556,0.012527777777777778,0.01661111111111111,0.05408333333333333,0.06105555555555556,k10iv
2023-07-13_15-45-26_bm03_k10iv,0.10280555555555555,0.10269444444444445,0.04605555555555556,0.006527777777777778,0.07644444444444444,0.016416666666666666,0.006111111111111111,0.005833333333333334,0.19877777777777778,0.08625,0.1385,0.026472222222222223,0.04938888888888889,0.06583333333333333,0.07188888888888889,k10iv
2023-07-14_13-56-09_bm01_k10iv,0.034583333333333334,0.020527777777777777,0.029638888888888888,0.007194444444444444,0.06730555555555555,0.004722222222222222,0.3507777777777778,0.0025555555555555557,0.11247222222222222,0.042388888888888886,0.1398611111111111,0.0,0.03925,0.11463888888888889,0.034083333333333334,k10iv
2023-07-18_18-19-50_bm04_k10iv,0.06488888888888888,0.06122222222222222,0.033305555555555554,0.005416666666666667,0.04138888888888889,0.009444444444444445,0.11155555555555556,0.00047222222222222224,0.21916666666666668,0.12055555555555555,0.11294444444444444,0.0,0.06308333333333334,0.07925,0.07730555555555556,k10iv
